Notes,State of Residence,County of Residence,Year,Births,% of Total Births
,South Carolina,"Beaufort County, SC",2019,1871,0.01%
Total,South Carolina,"Beaufort County, SC",,7753,0.05%
,South Carolina,"Berkeley County, SC",2016,2754,0.02%
,South Carolina,"Berkeley County, SC",2017,2697,0.02%
,South Carolina,"Berkeley County, SC",2018,2801,0.02%
,South Carolina,"Berkeley County, SC",2019,2869,0.02%
Total,South Carolina,"Berkeley County, SC",,11121,0.07%
,South Carolina,"Charleston County, SC",2016,5015,0.03%
,South Carolina,"Charleston County, SC",2017,4803,0.03%
,South Carolina,"Charleston County, SC",2018,4861,0.03%
,South Carolina,"Charleston County, SC",2019,4966,0.03%
Total,South Carolina,"Charleston County, SC",,19645,0.13%
,South Carolina,"Dorchester County, SC",2016,1800,0.01%
,South Carolina,"Dorchester County, SC",2017,1861,0.01%
,South Carolina,"Dorchester County, SC",2018,1843,0.01%
,South Carolina,"Dorchester County, SC",2019,1859,0.01%
Total,South Carolina,"Dorchester County, SC",,7363,0.05%
,South Carolina,"Florence County, SC",2016,1657,0.01%
,South Carolina,"Florence County, SC",2017,1695,0.01%
,South Carolina,"Florence County, SC",2018,1616,0.01%
,South Carolina,"Florence County, SC",2019,1624,0.01%
Total,South Carolina,"Florence County, SC",,6592,0.04%
,South Carolina,"Greenville County, SC",2016,6298,0.04%
,South Carolina,"Greenville County, SC",2017,6409,0.04%
,South Carolina,"Greenville County, SC",2018,6225,0.04%
,South Carolina,"Greenville County, SC",2019,6261,0.04%
Total,South Carolina,"Greenville County, SC",,25193,0.16%
,South Carolina,"Horry County, SC",2016,3118,0.02%
,South Carolina,"Horry County, SC",2017,3167,0.02%
,South Carolina,"Horry County, SC",2018,3153,0.02%
,South Carolina,"Horry County, SC",2019,3154,0.02%
Total,South Carolina,"Horry County, SC",,12592,0.08%
,South Carolina,"Lexington County, SC",2016,3264,0.02%
,South Carolina,"Lexington County, SC",2017,3210,0.02%
,South Carolina,"Lexington County, SC",2018,3224,0.02%
,South Carolina,"Lexington County, SC",2019,3195,0.02%
Total,South Carolina,"Lexington County, SC",,12893,0.08%
,South Carolina,"Pickens County, SC",2016,1225,0.01%
,South Carolina,"Pickens County, SC",2017,1169,0.01%
,South Carolina,"Pickens County, SC",2018,1145,0.01%
,South Carolina,"Pickens County, SC",2019,1286,0.01%
Total,South Carolina,"Pickens County, SC",,4825,0.03%
,South Carolina,"Richland County, SC",2016,4810,0.03%
,South Carolina,"Richland County, SC",2017,4646,0.03%
,South Carolina,"Richland County, SC",2018,4693,0.03%
,South Carolina,"Richland County, SC",2019,4841,0.03%
Total,South Carolina,"Richland County, SC",,18990,0.12%
,South Carolina,"Spartanburg County, SC",2016,3690,0.02%
,South Carolina,"Spartanburg County, SC",2017,3820,0.02%
,South Carolina,"Spartanburg County, SC",2018,3855,0.03%
,South Carolina,"Spartanburg County, SC",2019,3999,0.03%
Total,South Carolina,"Spartanburg County, SC",,15364,0.10%
,South Carolina,"Sumter County, SC",2016,1375,0.01%
,South Carolina,"Sumter County, SC",2017,1386,0.01%
,South Carolina,"Sumter County, SC",2018,1346,0.01%
,South Carolina,"Sumter County, SC",2019,1413,0.01%
Total,South Carolina,"Sumter County, SC",,5520,0.04%
,South Carolina,"York County, SC",2016,3011,0.02%
,South Carolina,"York County, SC",2017,2958,0.02%
,South Carolina,"York County, SC",2018,2921,0.02%
,South Carolina,"York County, SC",2019,2982,0.02%
Total,South Carolina,"York County, SC",,11872,0.08%
,South Carolina,"Unidentified Counties, SC",2016,13084,0.09%
,South Carolina,"Unidentified Counties, SC",2017,13038,0.08%
,South Carolina,"Unidentified Counties, SC",2018,12921,0.08%
,South Carolina,"Unidentified Counties, SC",2019,12743,0.08%
Total,South Carolina,"Unidentified Counties, SC",,51786,0.34%
Total,South Carolina,,,228078,1.49%
,South Dakota,"Minnehaha County, SD",2016,2937,0.02%
,South Dakota,"Minnehaha County, SD",2017,2911,0.02%
,South Dakota,"Minnehaha County, SD",2018,2891,0.02%
,South Dakota,"Minnehaha County, SD",2019,2789,0.02%
Total,South Dakota,"Minnehaha County, SD",,11528,0.08%
,South Dakota,"Pennington County, SD",2016,1471,0.01%
,South Dakota,"Pennington County, SD",2017,1468,0.01%
,South Dakota,"Pennington County, SD",2018,1542,0.01%
,South Dakota,"Pennington County, SD",2019,1451,0.01%
Total,South Dakota,"Pennington County, SD",,5932,0.04%
,South Dakota,"Unidentified Counties, SD",2016,7867,0.05%
,South Dakota,"Unidentified Counties, SD",2017,7755,0.05%
,South Dakota,"Unidentified Counties, SD",2018,7460,0.05%
,South Dakota,"Unidentified Counties, SD",2019,7209,0.05%
Total,South Dakota,"Unidentified Counties, SD",,30291,0.20%
Total,South Dakota,,,47751,0.31%
,Tennessee,"Blount County, TN",2016,1229,0.01%
,Tennessee,"Blount County, TN",2017,1220,0.01%
,Tennessee,"Blount County, TN",2018,1306,0.01%
,Tennessee,"Blount County, TN",2019,1240,0.01%
Total,Tennessee,"Blount County, TN",,4995,0.03%
,Tennessee,"Davidson County, TN",2016,10023,0.07%
,Tennessee,"Davidson County, TN",2017,10063,0.07%
,Tennessee,"Davidson County, TN",2018,9984,0.07%
,Tennessee,"Davidson County, TN",2019,10004,0.07%
Total,Tennessee,"Davidson County, TN",,40074,0.26%
,Tennessee,"Hamilton County, TN",2016,4293,0.03%
,Tennessee,"Hamilton County, TN",2017,4235,0.03%
,Tennessee,"Hamilton County, TN",2018,4249,0.03%
,Tennessee,"Hamilton County, TN",2019,4289,0.03%
Total,Tennessee,"Hamilton County, TN",,17066,0.11%
,Tennessee,"Knox County, TN",2016,5272,0.03%
,Tennessee,"Knox County, TN",2017,5211,0.03%
,Tennessee,"Knox County, TN",2018,5156,0.03%
,Tennessee,"Knox County, TN",2019,5125,0.03%
Total,Tennessee,"Knox County, TN",,20764,0.14%
,Tennessee,"Montgomery County, TN",2016,3443,0.02%
,Tennessee,"Montgomery County, TN",2017,3382,0.02%
,Tennessee,"Montgomery County, TN",2018,3513,0.02%
,Tennessee,"Montgomery County, TN",2019,3492,0.02%
Total,Tennessee,"Montgomery County, TN",,13830,0.09%
,Tennessee,"Rutherford County, TN",2016,4130,0.03%
,Tennessee,"Rutherford County, TN",2017,4030,0.03%
,Tennessee,"Rutherford County, TN",2018,4148,0.03%
,Tennessee,"Rutherford County, TN",2019,4230,0.03%
Total,Tennessee,"Rutherford County, TN",,16538,0.11%
,Tennessee,"Shelby County, TN",2016,13234,0.09%
,Tennessee,"Shelby County, TN",2017,13163,0.09%
,Tennessee,"Shelby County, TN",2018,13124,0.09%
,Tennessee,"Shelby County, TN",2019,12806,0.08%
Total,Tennessee,"Shelby County, TN",,52327,0.34%
,Tennessee,"Sullivan County, TN",2016,1492,0.01%
,Tennessee,"Sullivan County, TN",2017,1539,0.01%
,Tennessee,"Sullivan County, TN",2018,1506,0.01%
,Tennessee,"Sullivan County, TN",2019,1475,0.01%
Total,Tennessee,"Sullivan County, TN",,6012,0.04%
,Tennessee,"Sumner County, TN",2016,2053,0.01%
,Tennessee,"Sumner County, TN",2017,2193,0.01%
,Tennessee,"Sumner County, TN",2018,2150,0.01%
,Tennessee,"Sumner County, TN",2019,2119,0.01%
Total,Tennessee,"Sumner County, TN",,8515,0.06%
,Tennessee,"Washington County, TN",2016,1292,0.01%
,Tennessee,"Washington County, TN",2017,1236,0.01%
,Tennessee,"Washington County, TN",2018,1247,0.01%
,Tennessee,"Washington County, TN",2019,1221,0.01%
Total,Tennessee,"Washington County, TN",,4996,0.03%
,Tennessee,"Williamson County, TN",2016,2270,0.01%
,Tennessee,"Williamson County, TN",2017,2401,0.02%
,Tennessee,"Williamson County, TN",2018,2322,0.02%
,Tennessee,"Williamson County, TN",2019,2228,0.01%
Total,Tennessee,"Williamson County, TN",,9221,0.06%
,Tennessee,"Wilson County, TN",2016,1527,0.01%
,Tennessee,"Wilson County, TN",2017,1567,0.01%
,Tennessee,"Wilson County, TN",2018,1651,0.01%
,Tennessee,"Wilson County, TN",2019,1634,0.01%
Total,Tennessee,"Wilson County, TN",,6379,0.04%
,Tennessee,"Unidentified Counties, TN",2016,30549,0.20%
,Tennessee,"Unidentified Counties, TN",2017,30776,0.20%
,Tennessee,"Unidentified Counties, TN",2018,30395,0.20%
,Tennessee,"Unidentified Counties, TN",2019,30587,0.20%
Total,Tennessee,"Unidentified Counties, TN",,122307,0.80%
Total,Tennessee,,,323024,2.11%
,Texas,"Bell County, TX",2016,6140,0.04%
,Texas,"Bell County, TX",2017,5976,0.04%
,Texas,"Bell County, TX",2018,5889,0.04%
,Texas,"Bell County, TX",2019,6160,0.04%
Total,Texas,"Bell County, TX",,24165,0.16%
,Texas,"Bexar County, TX",2016,27968,0.18%
,Texas,"Bexar County, TX",2017,27014,0.18%
,Texas,"Bexar County, TX",2018,26562,0.17%
,Texas,"Bexar County, TX",2019,26101,0.17%
Total,Texas,"Bexar County, TX",,107645,0.70%
,Texas,"Brazoria County, TX",2016,4800,0.03%
,Texas,"Brazoria County, TX",2017,4630,0.03%
,Texas,"Brazoria County, TX",2018,4734,0.03%
,Texas,"Brazoria County, TX",2019,4759,0.03%
Total,Texas,"Brazoria County, TX",,18923,0.12%
,Texas,"Brazos County, TX",2016,2771,0.02%
,Texas,"Brazos County, TX",2017,2692,0.02%
,Texas,"Brazos County, TX",2018,2584,0.02%
,Texas,"Brazos County, TX",2019,2648,0.02%
Total,Texas,"Brazos County, TX",,10695,0.07%
,Texas,"Cameron County, TX",2016,6893,0.04%
,Texas,"Cameron County, TX",2017,6276,0.04%
,Texas,"Cameron County, TX",2018,6306,0.04%
,Texas,"Cameron County, TX",2019,6131,0.04%
Total,Texas,"Cameron County, TX",,25606,0.17%
,Texas,"Collin County, TX",2016,11086,0.07%
,Texas,"Collin County, TX",2017,10919,0.07%
,Texas,"Collin County, TX",2018,11147,0.07%
,Texas,"Collin County, TX",2019,11524,0.08%
Total,Texas,"Collin County, TX",,44676,0.29%
,Texas,"Comal County, TX",2016,1448,0.01%
,Texas,"Comal County, TX",2017,1480,0.01%
,Texas,"Comal County, TX",2018,1526,0.01%
,Texas,"Comal County, TX",2019,1666,0.01%
Total,Texas,"Comal County, TX",,6120,0.04%
,Texas,"Dallas County, TX",2016,40379,0.26%
,Texas,"Dallas County, TX",2017,39263,0.26%
,Texas,"Dallas County, TX",2018,38182,0.25%
,Texas,"Dallas County, TX",2019,37544,0.24%
Total,Texas,"Dallas County, TX",,155368,1.01%
,Texas,"Denton County, TX",2016,10195,0.07%
,Texas,"Denton County, TX",2017,9786,0.06%
,Texas,"Denton County, TX",2018,9857,0.06%
,Texas,"Denton County, TX",2019,10235,0.07%
Total,Texas,"Denton County, TX",,40073,0.26%
,Texas,"Ector County, TX",2016,2814,0.02%
,Texas,"Ector County, TX",2017,2750,0.02%
,Texas,"Ector County, TX",2018,3000,0.02%
,Texas,"Ector County, TX",2019,3221,0.02%
Total,Texas,"Ector County, TX",,11785,0.08%
,Texas,"Ellis County, TX",2016,2244,0.01%
,Texas,"Ellis County, TX",2017,2214,0.01%
,Texas,"Ellis County, TX",2018,2214,0.01%
,Texas,"Ellis County, TX",2019,2272,0.01%
Total,Texas,"Ellis County, TX",,8944,0.06%
,Texas,"El Paso County, TX",2016,13073,0.09%
,Texas,"El Paso County, TX",2017,12013,0.08%
,Texas,"El Paso County, TX",2018,11721,0.08%
,Texas,"El Paso County, TX",2019,11637,0.08%
Total,Texas,"El Paso County, TX",,48444,0.32%
,Texas,"Fort Bend County, TX",2016,9976,0.07%
,Texas,"Fort Bend County, TX",2017,9627,0.06%
,Texas,"Fort Bend County, TX",2018,9375,0.06%
,Texas,"Fort Bend County, TX",2019,9052,0.06%
Total,Texas,"Fort Bend County, TX",,38030,0.25%
,Texas,"Galveston County, TX",2016,4167,0.03%
,Texas,"Galveston County, TX",2017,3995,0.03%
,Texas,"Galveston County, TX",2018,3957,0.03%
,Texas,"Galveston County, TX",2019,3957,0.03%
Total,Texas,"Galveston County, TX",,16076,0.10%
,Texas,"Grayson County, TX",2016,1543,0.01%
,Texas,"Grayson County, TX",2017,1580,0.01%
,Texas,"Grayson County, TX",2018,1662,0.01%
,Texas,"Grayson County, TX",2019,1583,0.01%
Total,Texas,"Grayson County, TX",,6368,0.04%
,Texas,"Gregg County, TX",2016,1743,0.01%
,Texas,"Gregg County, TX",2017,1623,0.01%
,Texas,"Gregg County, TX",2018,1644,0.01%
,Texas,"Gregg County, TX",2019,1721,0.01%
Total,Texas,"Gregg County, TX",,6731,0.04%
,Texas,"Guadalupe County, TX",2016,1847,0.01%
,Texas,"Guadalupe County, TX",2017,1773,0.01%
,Texas,"Guadalupe County, TX",2018,1848,0.01%
,Texas,"Guadalupe County, TX",2019,1855,0.01%
Total,Texas,"Guadalupe County, TX",,7323,0.05%
,Texas,"Harris County, TX",2016,72420,0.47%
,Texas,"Harris County, TX",2017,68422,0.45%
,Texas,"Harris County, TX",2018,67095,0.44%
,Texas,"Harris County, TX",2019,66354,0.43%
Total,Texas,"Harris County, TX",,274291,1.79%
,Texas,"Hays County, TX",2016,2502,0.02%
,Texas,"Hays County, TX",2017,2584,0.02%
,Texas,"Hays County, TX",2018,2572,0.02%
,Texas,"Hays County, TX",2019,2562,0.02%
Total,Texas,"Hays County, TX",,10220,0.07%
,Texas,"Hidalgo County, TX",2016,14982,0.10%
,Texas,"Hidalgo County, TX",2017,14108,0.09%
,Texas,"Hidalgo County, TX",2018,14185,0.09%
,Texas,"Hidalgo County, TX",2019,13797,0.09%
Total,Texas,"Hidalgo County, TX",,57072,0.37%
,Texas,"Jefferson County, TX",2016,3578,0.02%
,Texas,"Jefferson County, TX",2017,3475,0.02%
,Texas,"Jefferson County, TX",2018,3468,0.02%
,Texas,"Jefferson County, TX",2019,3323,0.02%
Total,Texas,"Jefferson County, TX",,13844,0.09%
,Texas,"Johnson County, TX",2016,2100,0.01%
,Texas,"Johnson County, TX",2017,2117,0.01%
,Texas,"Johnson County, TX",2018,2110,0.01%
,Texas,"Johnson County, TX",2019,2176,0.01%
Total,Texas,"Johnson County, TX",,8503,0.06%
,Texas,"Kaufman County, TX",2016,1663,0.01%
,Texas,"Kaufman County, TX",2017,1675,0.01%
,Texas,"Kaufman County, TX",2018,1786,0.01%
,Texas,"Kaufman County, TX",2019,1824,0.01%
Total,Texas,"Kaufman County, TX",,6948,0.05%
,Texas,"Lubbock County, TX",2016,4273,0.03%
,Texas,"Lubbock County, TX",2017,4017,0.03%
,Texas,"Lubbock County, TX",2018,3896,0.03%
,Texas,"Lubbock County, TX",2019,4104,0.03%
Total,Texas,"Lubbock County, TX",,16290,0.11%
,Texas,"McLennan County, TX",2016,3376,0.02%
,Texas,"McLennan County, TX",2017,3446,0.02%
,Texas,"McLennan County, TX",2018,3460,0.02%
,Texas,"McLennan County, TX",2019,3301,0.02%
Total,Texas,"McLennan County, TX",,13583,0.09%
,Texas,"Midland County, TX",2016,2904,0.02%
,Texas,"Midland County, TX",2017,2826,0.02%
,Texas,"Midland County, TX",2018,3011,0.02%
,Texas,"Midland County, TX",2019,2983,0.02%
Total,Texas,"Midland County, TX",,11724,0.08%
,Texas,"Montgomery County, TX",2016,7347,0.05%
,Texas,"Montgomery County, TX",2017,7139,0.05%
,Texas,"Montgomery County, TX",2018,7355,0.05%
,Texas,"Montgomery County, TX",2019,7395,0.05%
Total,Texas,"Montgomery County, TX",,29236,0.19%
,Texas,"Nueces County, TX",2016,4738,0.03%
,Texas,"Nueces County, TX",2017,4520,0.03%
,Texas,"Nueces County, TX",2018,4569,0.03%
,Texas,"Nueces County, TX",2019,4461,0.03%
Total,Texas,"Nueces County, TX",,18288,0.12%
,Texas,"Parker County, TX",2016,1538,0.01%
,Texas,"Parker County, TX",2017,1498,0.01%
,Texas,"Parker County, TX",2018,1537,0.01%
,Texas,"Parker County, TX",2019,1613,0.01%
Total,Texas,"Parker County, TX",,6186,0.04%
,Texas,"Potter County, TX",2016,1886,0.01%
,Texas,"Potter County, TX",2017,1714,0.01%
,Texas,"Potter County, TX",2018,1638,0.01%
,Texas,"Potter County, TX",2019,1648,0.01%
Total,Texas,"Potter County, TX",,6886,0.04%
,Texas,"Randall County, TX",2016,1640,0.01%
,Texas,"Randall County, TX",2017,1550,0.01%
,Texas,"Randall County, TX",2018,1645,0.01%
,Texas,"Randall County, TX",2019,1586,0.01%
Total,Texas,"Randall County, TX",,6421,0.04%
,Texas,"Smith County, TX",2016,3160,0.02%
,Texas,"Smith County, TX",2017,3055,0.02%
,Texas,"Smith County, TX",2018,2922,0.02%
,Texas,"Smith County, TX",2019,2912,0.02%
Total,Texas,"Smith County, TX",,12049,0.08%
,Texas,"Tarrant County, TX",2016,28745,0.19%
,Texas,"Tarrant County, TX",2017,27820,0.18%
,Texas,"Tarrant County, TX",2018,27280,0.18%
,Texas,"Tarrant County, TX",2019,27161,0.18%
Total,Texas,"Tarrant County, TX",,111006,0.72%
,Texas,"Taylor County, TX",2016,2037,0.01%
,Texas,"Taylor County, TX",2017,2094,0.01%
,Texas,"Taylor County, TX",2018,2044,0.01%
,Texas,"Taylor County, TX",2019,1958,0.01%
Total,Texas,"Taylor County, TX",,8133,0.05%
,Texas,"Tom Green County, TX",2016,1556,0.01%
,Texas,"Tom Green County, TX",2017,1558,0.01%
,Texas,"Tom Green County, TX",2018,1473,0.01%
,Texas,"Tom Green County, TX",2019,1563,0.01%
Total,Texas,"Tom Green County, TX",,6150,0.04%
,Texas,"Travis County, TX",2016,15992,0.10%
,Texas,"Travis County, TX",2017,15142,0.10%
,Texas,"Travis County, TX",2018,15125,0.10%
,Texas,"Travis County, TX",2019,15418,0.10%
Total,Texas,"Travis County, TX",,61677,0.40%
,Texas,"Webb County, TX",2016,5189,0.03%
,Texas,"Webb County, TX",2017,4872,0.03%
,Texas,"Webb County, TX",2018,4693,0.03%
,Texas,"Webb County, TX",2019,4622,0.03%
Total,Texas,"Webb County, TX",,19376,0.13%
,Texas,"Wichita County, TX",2016,1631,0.01%
,Texas,"Wichita County, TX",2017,1624,0.01%
,Texas,"Wichita County, TX",2018,1607,0.01%
,Texas,"Wichita County, TX",2019,1631,0.01%
Total,Texas,"Wichita County, TX",,6493,0.04%
,Texas,"Williamson County, TX",2016,6535,0.04%
,Texas,"Williamson County, TX",2017,6432,0.04%
,Texas,"Williamson County, TX",2018,6650,0.04%
,Texas,"Williamson County, TX",2019,6695,0.04%
Total,Texas,"Williamson County, TX",,26312,0.17%
,Texas,"Unidentified Counties, TX",2016,59168,0.39%
,Texas,"Unidentified Counties, TX",2017,56751,0.37%
,Texas,"Unidentified Counties, TX",2018,56295,0.37%
,Texas,"Unidentified Counties, TX",2019,56446,0.37%
Total,Texas,"Unidentified Counties, TX",,228660,1.49%
Total,Texas,,,1536320,10.01%
,Utah,"Cache County, UT",2016,2286,0.01%
,Utah,"Cache County, UT",2017,2194,0.01%
,Utah,"Cache County, UT",2018,2114,0.01%
,Utah,"Cache County, UT",2019,2037,0.01%
Total,Utah,"Cache County, UT",,8631,0.06%
,Utah,"Davis County, UT",2016,5698,0.04%
,Utah,"Davis County, UT",2017,5481,0.04%
,Utah,"Davis County, UT",2018,5302,0.03%
,Utah,"Davis County, UT",2019,5098,0.03%
Total,Utah,"Davis County, UT",,21579,0.14%
,Utah,"Salt Lake County, UT",2016,17612,0.11%
,Utah,"Salt Lake County, UT",2017,16754,0.11%
,Utah,"Salt Lake County, UT",2018,15998,0.10%
,Utah,"Salt Lake County, UT",2019,16031,0.10%
Total,Utah,"Salt Lake County, UT",,66395,0.43%
,Utah,"Utah County, UT",2016,11971,0.08%
,Utah,"Utah County, UT",2017,11618,0.08%
,Utah,"Utah County, UT",2018,11514,0.08%
,Utah,"Utah County, UT",2019,11645,0.08%
Total,Utah,"Utah County, UT",,46748,0.30%
,Utah,"Washington County, UT",2016,2210,0.01%
,Utah,"Washington County, UT",2017,2202,0.01%
,Utah,"Washington County, UT",2018,2184,0.01%
,Utah,"Washington County, UT",2019,2116,0.01%
Total,Utah,"Washington County, UT",,8712,0.06%
,Utah,"Weber County, UT",2016,3876,0.03%
,Utah,"Weber County, UT",2017,3766,0.02%
,Utah,"Weber County, UT",2018,3637,0.02%
,Utah,"Weber County, UT",2019,3575,0.02%
Total,Utah,"Weber County, UT",,14854,0.10%
,Utah,"Unidentified Counties, UT",2016,6811,0.04%
,Utah,"Unidentified Counties, UT",2017,6570,0.04%
,Utah,"Unidentified Counties, UT",2018,6460,0.04%
,Utah,"Unidentified Counties, UT",2019,6324,0.04%
Total,Utah,"Unidentified Counties, UT",,26165,0.17%
Total,Utah,,,193084,1.26%
,Vermont,"Chittenden County, VT",2016,1552,0.01%
,Vermont,"Chittenden County, VT",2017,1450,0.01%
,Vermont,"Chittenden County, VT",2018,1392,0.01%
,Vermont,"Chittenden County, VT",2019,1398,0.01%
Total,Vermont,"Chittenden County, VT",,5792,0.04%
,Vermont,"Unidentified Counties, VT",2016,4204,0.03%
,Vermont,"Unidentified Counties, VT",2017,4205,0.03%
,Vermont,"Unidentified Counties, VT",2018,4040,0.03%
,Vermont,"Unidentified Counties, VT",2019,3963,0.03%
Total,Vermont,"Unidentified Counties, VT",,16412,0.11%
Total,Vermont,,,22204,0.14%
,Virginia,"Arlington County, VA",2016,3225,0.02%
,Virginia,"Arlington County, VA",2017,2990,0.02%
,Virginia,"Arlington County, VA",2018,2937,0.02%
,Virginia,"Arlington County, VA",2019,2650,0.02%
Total,Virginia,"Arlington County, VA",,11802,0.08%
,Virginia,"Chesterfield County, VA",2016,3885,0.03%
,Virginia,"Chesterfield County, VA",2017,3845,0.03%
,Virginia,"Chesterfield County, VA",2018,3841,0.03%
,Virginia,"Chesterfield County, VA",2019,3904,0.03%
Total,Virginia,"Chesterfield County, VA",,15475,0.10%
,Virginia,"Fairfax County, VA",2016,14525,0.09%
,Virginia,"Fairfax County, VA",2017,14220,0.09%
,Virginia,"Fairfax County, VA",2018,13841,0.09%
,Virginia,"Fairfax County, VA",2019,13376,0.09%
Total,Virginia,"Fairfax County, VA",,55962,0.36%
,Virginia,"Henrico County, VA",2016,3903,0.03%
,Virginia,"Henrico County, VA",2017,3895,0.03%
,Virginia,"Henrico County, VA",2018,3911,0.03%
,Virginia,"Henrico County, VA",2019,3695,0.02%
Total,Virginia,"Henrico County, VA",,15404,0.10%
,Virginia,"Loudoun County, VA",2016,5335,0.03%
,Virginia,"Loudoun County, VA",2017,5067,0.03%
,Virginia,"Loudoun County, VA",2018,5224,0.03%
,Virginia,"Loudoun County, VA",2019,4909,0.03%
Total,Virginia,"Loudoun County, VA",,20535,0.13%
,Virginia,"Prince William County, VA",2016,6845,0.04%
,Virginia,"Prince William County, VA",2017,6675,0.04%
,Virginia,"Prince William County, VA",2018,6484,0.04%
,Virginia,"Prince William County, VA",2019,6386,0.04%
Total,Virginia,"Prince William County, VA",,26390,0.17%
,Virginia,"Spotsylvania County, VA",2016,1542,0.01%
,Virginia,"Spotsylvania County, VA",2017,1505,0.01%
,Virginia,"Spotsylvania County, VA",2018,1503,0.01%
,Virginia,"Spotsylvania County, VA",2019,1568,0.01%
Total,Virginia,"Spotsylvania County, VA",,6118,0.04%
,Virginia,"Stafford County, VA",2016,1711,0.01%
,Virginia,"Stafford County, VA",2017,1746,0.01%
,Virginia,"Stafford County, VA",2018,1745,0.01%
,Virginia,"Stafford County, VA",2019,1763,0.01%
Total,Virginia,"Stafford County, VA",,6965,0.05%
,Virginia,"Alexandria city, VA",2016,2823,0.02%
,Virginia,"Alexandria city, VA",2017,2647,0.02%
,Virginia,"Alexandria city, VA",2018,2590,0.02%
,Virginia,"Alexandria city, VA",2019,2486,0.02%
Total,Virginia,"Alexandria city, VA",,10546,0.07%
,Virginia,"Chesapeake city, VA",2016,2877,0.02%
,Virginia,"Chesapeake city, VA",2017,2902,0.02%
,Virginia,"Chesapeake city, VA",2018,2928,0.02%
,Virginia,"Chesapeake city, VA",2019,2945,0.02%
Total,Virginia,"Chesapeake city, VA",,11652,0.08%
,Virginia,"Hampton city, VA",2016,1727,0.01%
,Virginia,"Hampton city, VA",2017,1736,0.01%
,Virginia,"Hampton city, VA",2018,1645,0.01%
,Virginia,"Hampton city, VA",2019,1606,0.01%
Total,Virginia,"Hampton city, VA",,6714,0.04%
,Virginia,"Newport News city, VA",2016,2814,0.02%
,Virginia,"Newport News city, VA",2017,2717,0.02%
,Virginia,"Newport News city, VA",2018,2677,0.02%
,Virginia,"Newport News city, VA",2019,2752,0.02%
Total,Virginia,"Newport News city, VA",,10960,0.07%
,Virginia,"Norfolk city, VA",2016,3547,0.02%
,Virginia,"Norfolk city, VA",2017,3410,0.02%
,Virginia,"Norfolk city, VA",2018,3452,0.02%
,Virginia,"Norfolk city, VA",2019,3338,0.02%
Total,Virginia,"Norfolk city, VA",,13747,0.09%
,Virginia,"Richmond city, VA",2016,3028,0.02%
,Virginia,"Richmond city, VA",2017,3031,0.02%
,Virginia,"Richmond city, VA",2018,3139,0.02%
,Virginia,"Richmond city, VA",2019,3092,0.02%
Total,Virginia,"Richmond city, VA",,12290,0.08%
,Virginia,"Virginia Beach city, VA",2016,5925,0.04%
,Virginia,"Virginia Beach city, VA",2017,5710,0.04%
,Virginia,"Virginia Beach city, VA",2018,5618,0.04%
,Virginia,"Virginia Beach city, VA",2019,5458,0.04%
Total,Virginia,"Virginia Beach city, VA",,22711,0.15%
,Virginia,"Unidentified Counties, VA",2016,38748,0.25%
,Virginia,"Unidentified Counties, VA",2017,38295,0.25%
,Virginia,"Unidentified Counties, VA",2018,38308,0.25%
,Virginia,"Unidentified Counties, VA",2019,37501,0.24%
Total,Virginia,"Unidentified Counties, VA",,152852,1.00%
Total,Virginia,,,400123,2.61%
,Washington,"Benton County, WA",2016,2759,0.02%
,Washington,"Benton County, WA",2017,2563,0.02%
,Washington,"Benton County, WA",2018,2552,0.02%
,Washington,"Benton County, WA",2019,2551,0.02%
Total,Washington,"Benton County, WA",,10425,0.07%
,Washington,"Clark County, WA",2016,5665,0.04%
,Washington,"Clark County, WA",2017,5520,0.04%
,Washington,"Clark County, WA",2018,5482,0.04%
,Washington,"Clark County, WA",2019,5591,0.04%
Total,Washington,"Clark County, WA",,22258,0.15%
,Washington,"Cowlitz County, WA",2016,1285,0.01%
,Washington,"Cowlitz County, WA",2017,1295,0.01%
,Washington,"Cowlitz County, WA",2018,1235,0.01%
,Washington,"Cowlitz County, WA",2019,1238,0.01%
Total,Washington,"Cowlitz County, WA",,5053,0.03%
,Washington,"King County, WA",2016,26022,0.17%
,Washington,"King County, WA",2017,25300,0.16%
,Washington,"King County, WA",2018,24347,0.16%
,Washington,"King County, WA",2019,24113,0.16%
Total,Washington,"King County, WA",,99782,0.65%
,Washington,"Kitsap County, WA",2016,3147,0.02%
,Washington,"Kitsap County, WA",2017,2979,0.02%
,Washington,"Kitsap County, WA",2018,2994,0.02%
,Washington,"Kitsap County, WA",2019,2953,0.02%
Total,Washington,"Kitsap County, WA",,12073,0.08%
,Washington,"Pierce County, WA",2016,11756,0.08%
,Washington,"Pierce County, WA",2017,11297,0.07%
,Washington,"Pierce County, WA",2018,11478,0.07%
,Washington,"Pierce County, WA",2019,11054,0.07%
Total,Washington,"Pierce County, WA",,45585,0.30%
,Washington,"Skagit County, WA",2016,1515,0.01%
,Washington,"Skagit County, WA",2017,1429,0.01%
,Washington,"Skagit County, WA",2018,1386,0.01%
,Washington,"Skagit County, WA",2019,1393,0.01%
Total,Washington,"Skagit County, WA",,5723,0.04%
,Washington,"Snohomish County, WA",2016,10041,0.07%
,Washington,"Snohomish County, WA",2017,9883,0.06%
,Washington,"Snohomish County, WA",2018,9763,0.06%
,Washington,"Snohomish County, WA",2019,9667,0.06%
